split,seed,arm,train_detector,eval_detector,partition,relation,mpjpe_mm,pa_mpjpe_mm,samples,best_epoch,epochs_completed
split_b,2026,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,130.69447269398964,86.37869411357164,19666,45,50
split_b,2026,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,110.66729024799268,75.99017144780974,19678,45,50
split_b,2026,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,143.65638030102716,94.76385957998576,19666,45,50
split_b,2026,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,125.46205867593251,84.28876711937188,19678,45,50
split_b,2026,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,144.57106490897996,94.17814295611716,19666,33,41
split_b,2026,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,122.75607435969103,82.42474106553003,19678,33,41
split_b,2026,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,141.58766716668362,94.50664853045866,19666,33,41
split_b,2026,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,123.41833519666633,84.0925974597266,19678,33,41
split_b,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,132.15262302323808,86.41398543170955,19666,29,37
split_b,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,112.76422829428803,76.69309079301759,19678,29,37
split_b,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,144.52739340740365,95.09794823553341,19666,29,37
split_b,2026,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,127.30285248754954,85.64064088067893,19678,29,37
split_b,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,147.12783643089597,93.67471778704363,19666,34,42
split_b,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,125.41887752185181,83.15305877756886,19678,34,42
split_b,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,142.58464799654226,93.10428173942337,19666,34,42
split_b,2026,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,124.96503471516414,84.14958686413762,19678,34,42
split_b,42,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,127.58731837308045,84.12110447599919,19666,39,47
split_b,42,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,110.79431503455636,75.13802056865535,19678,39,47
split_b,42,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,164.0501905255263,110.35557005110343,19666,39,47
split_b,42,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,149.91471916607378,98.8733646870871,19678,39,47
split_b,42,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,178.5578584231669,120.78089167217533,19666,50,50
split_b,42,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,162.02326916480334,109.85666853529322,19678,50,50
split_b,42,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,136.54352213210618,91.87467186387674,19666,50,50
split_b,42,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,121.9319497027137,82.52561950528509,19678,50,50
split_b,42,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,129.866778322994,85.5104884381674,19666,50,50
split_b,42,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,110.09498392875292,75.15545199588372,19678,50,50
split_b,42,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,144.11752199227092,94.60153230829859,19666,50,50
split_b,42,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,125.1565842882915,84.42820345055392,19678,50,50
split_b,42,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,144.19902210668158,93.50348316892098,19666,43,50
split_b,42,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,122.73479822009351,81.6153620159569,19678,43,50
split_b,42,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,141.37918552323808,93.77288093982,19666,43,50
split_b,42,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,124.75547883423113,83.5492602779754,19678,43,50
split_b,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,131.67860139326757,86.15757764034375,19666,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,111.99384703094827,76.13913936248602,19678,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,144.2561892987898,94.7064500597478,19666,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,126.66943731578412,84.83222420024902,19678,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,145.9338992423472,94.80210253419608,19666,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,124.75866767456043,82.3933207452485,19678,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,val,matched,142.94648203117055,95.06314673802501,19666,31,39
split_b,42,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,yolo11l_pose,test,matched,125.15839150955382,84.12670439386625,19678,31,39
split_c,123,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,val,matched,112.47067156215063,77.31444220703324,19678,26,34
split_c,123,bounded_reliability_dual_modulation,rtmpose_performance,rtmpose_performance,test,matched,123.20361727318046,80.65631620762711,20060,26,34
split_c,123,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,val,cross,151.10374847545484,103.6510292268015,19678,26,34
