split,seed,detector,arm,checkpoint,sha256,report
split_a,2026,yolo11l_pose,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_aware_observed\train_yolo11l_pose\best.pt,209ed56c481ef9964b999d5b4529c4593738884aba7305a0e76a7333883986e9,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_aware_observed\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,2026,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\best.pt,fa22cf160be5560538a81ce2ded4dd1be276aa63fa5c0fe235e41eea623ee298,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\phase9c_r1d_run_report.json
split_a,2026,yolo11l_pose,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed2026\bounded_reliability_observed_modulation\train_yolo11l_pose\best.pt,b45919dee45cf20338acd56a3a8f7005ad98b09675278ff4bde8e046bdf043f2,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_a\seed2026\bounded_reliability_observed_modulation\train_yolo11l_pose\phase9c_r1e_run_report.json
split_a,2026,yolo11l_pose,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\bounded_reliability_dual_modulation\train_yolo11l_pose\best.pt,a3e197bd6e564e6740f3713cbc3cb2cf0de00fe1cc9e3bcfe7bfb4d815b71fd1,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_a\seed2026\bounded_reliability_dual_modulation\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,42,rtmpose_performance,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_aware_observed\train_rtmpose_performance\best.pt,0894a30cdf99411ca254825f07b2af7575a19aaba923fcba92ecf8478b86d158,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_aware_observed\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,42,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\best.pt,6963e8edcd5b83efcdb337bf3d3e6a97e7e91cede4bddb32c38e17742e45a55f,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,42,rtmpose_performance,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed42\bounded_reliability_observed_modulation\train_rtmpose_performance\best.pt,5c01673e506e02193acab40e588294a8f4563df394a2eebcc3177c1522099116,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed42\bounded_reliability_observed_modulation\train_rtmpose_performance\phase9c_r1e_run_report.json
split_b,42,rtmpose_performance,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\bounded_reliability_dual_modulation\train_rtmpose_performance\best.pt,2c795f1edd87b3b1444c07b3448e1ea6f7b5066699c2bac0d409c3b27cff5d60,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\bounded_reliability_dual_modulation\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,42,yolo11l_pose,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_aware_observed\train_yolo11l_pose\best.pt,1f0a250a4f98d5d0b1692f87d782e2330165d99aa9216ee64456c0fb9123876f,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_aware_observed\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,42,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\best.pt,9b689a264a9644912d2c4c69fd47d1475869f2bac21e02a37fbf9149999c7d3a,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,42,yolo11l_pose,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed42\bounded_reliability_observed_modulation\train_yolo11l_pose\best.pt,48583832925e7cf86895173e2083f4c103438f01a4f5efdcb8074c786d6b0bbc,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed42\bounded_reliability_observed_modulation\train_yolo11l_pose\phase9c_r1e_run_report.json
split_b,42,yolo11l_pose,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\bounded_reliability_dual_modulation\train_yolo11l_pose\best.pt,e2556e9f94faaee67f6ea2b140a9a80b7d2b5a1e9d090e5866f70326d8021091,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed42\bounded_reliability_dual_modulation\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,123,rtmpose_performance,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_aware_observed\train_rtmpose_performance\best.pt,0f849feb92ebee2af49a5cc2c24daf815f4b8f6063ecec079b34b2a48d9ac0a5,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_aware_observed\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\best.pt,79e5c546aabda04f297523ac8db14726626bc1b71542ffad0e9ebcd49492d342,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed123\bounded_reliability_observed_modulation\train_rtmpose_performance\best.pt,088f8701640b21ed2c8a227be4fe195ebf03f98d3aff704adc906aeb3184d58e,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed123\bounded_reliability_observed_modulation\train_rtmpose_performance\phase9c_r1e_run_report.json
split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\bounded_reliability_dual_modulation\train_rtmpose_performance\best.pt,96f610ac5ad7069126a09f2ccc3e8a75685bad648bd37fbff0bb064c79afeb03,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\bounded_reliability_dual_modulation\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,123,yolo11l_pose,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_aware_observed\train_yolo11l_pose\best.pt,a7c8e0b42c2aa3946e3e28c077a86a3ff9ef588f80bc812fc313437076b77da4,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_aware_observed\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\best.pt,ac49989fc731c34e316627f3ec0cb4dd4c43cf8dec70ef6bd67a89edd756ba9a,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\detector_conditioned_virtual_view_no_confidence\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,123,yolo11l_pose,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed123\bounded_reliability_observed_modulation\train_yolo11l_pose\best.pt,2da296e4228da4cb49ddf78cc4274c81516a080063f9a709e0fbde46c2babb5b,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed123\bounded_reliability_observed_modulation\train_yolo11l_pose\phase9c_r1e_run_report.json
split_b,123,yolo11l_pose,bounded_reliability_dual_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\bounded_reliability_dual_modulation\train_yolo11l_pose\best.pt,47f26f8601f237db37250f309361a0bf10cd4934780697c2f1c400b1e04b099d,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed123\bounded_reliability_dual_modulation\train_yolo11l_pose\phase9c_r1d_run_report.json
split_b,2026,rtmpose_performance,detector_aware_observed,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed2026\detector_aware_observed\train_rtmpose_performance\best.pt,9a1d4769069633cf5173f7037d27ab7aa6702acbbb35a7a3884d74f126832344,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed2026\detector_aware_observed\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,2026,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed2026\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\best.pt,4b1a0963fb52e8a233ffe333f8eb207d7c4be64521b4cf5bfcbc6622e1ee20b2,D:\Research\vv_pose_project\outputs\phase9c_r1d_locked_full_confirmation\split_b\seed2026\detector_conditioned_virtual_view_no_confidence\train_rtmpose_performance\phase9c_r1d_run_report.json
split_b,2026,rtmpose_performance,bounded_reliability_observed_modulation,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed2026\bounded_reliability_observed_modulation\train_rtmpose_performance\best.pt,33f8ef3f624a34b92f4c0e52ea90b2bf68103e0735c2345212363189d0b9169d,D:\Research\vv_pose_project\outputs\phase9c_r1e_synergy_attribution\split_b\seed2026\bounded_reliability_observed_modulation\train_rtmpose_performance\phase9c_r1e_run_report.json
