subject,split,seed,detector,arm,valid_frames,detector_success_rate,MPJPE_mm,PA_MPJPE_mm,3DPCK_at_150mm_pct,AUC_0_to_150mm_pct
TS2,split_b,123,rtmpose_performance,detector_aware_observed,540,1.0,122.95034790039062,76.70105743408203,72.32804232804233,33.46774193548387
TS3,split_b,123,rtmpose_performance,detector_aware_observed,506,1.0,125.28398132324219,73.11185455322266,69.73461321287408,32.22209067230105
TS4,split_b,123,rtmpose_performance,detector_aware_observed,558,1.0,145.86227416992188,86.38941955566406,61.66154633896569,28.20309532068117
TS5,split_b,123,rtmpose_performance,detector_aware_observed,276,1.0,127.8634262084961,71.04300689697266,66.35610766045549,31.951679690108865
TS6,split_b,123,rtmpose_performance,detector_aware_observed,392,1.0,133.5110321044922,108.95063018798828,71.3192419825073,36.90515376657576
TS1,split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,603,1.0,94.35308837890625,57.384307861328125,83.92561004501303,43.74211889859458
TS2,split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,540,1.0,123.64299774169922,76.1573715209961,71.21693121693121,33.203191670933606
TS3,split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,506,1.0,119.22127532958984,72.31226348876953,72.5296442687747,34.460210196535584
TS4,split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,558,1.0,145.45721435546875,85.7997817993164,63.78648233486943,28.81505706687809
TS5,split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,276,1.0,114.13799285888672,77.24380493164062,75.59523809523809,35.86205169304748
TS6,split_b,123,rtmpose_performance,detector_conditioned_virtual_view_no_confidence,392,1.0,124.43313598632812,104.15372467041016,75.10932944606414,38.35994075049375
TS1,split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,603,1.0,97.29100036621094,56.88823318481445,82.37384506041222,42.098646552185315
TS2,split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,540,1.0,124.25353240966797,73.90874481201172,71.11111111111111,33.22495306366274
TS3,split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,506,1.0,121.20221710205078,71.29672241210938,72.5296442687747,33.25895703174806
TS4,split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,558,1.0,134.49658203125,83.30809020996094,66.9994879672299,30.752523000181686
TS5,split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,276,1.0,121.94215393066406,78.54403686523438,73.5248447204969,34.78177385961397
